"ensembl_transcript_id","mgi_symbol","transcript_biotype","description"
"ENSMUST00000037708","Asic4","protein_coding","acid-sensing (proton-gated) ion channel family member 4 [Source:MGI Symbol;Acc:MGI:2652846]"
"ENSMUST00000043725","Cntnap5a","protein_coding","contactin associated protein-like 5A [Source:MGI Symbol;Acc:MGI:3643623]"
"ENSMUST00000119877","Gm15452","processed_pseudogene","predicted gene 15452 [Source:MGI Symbol;Acc:MGI:3768636]"
"ENSMUST00000072079","Rrs1","protein_coding","ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]"
"ENSMUST00000144177","Adhfe1","protein_coding","alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]"
"ENSMUST00000027044","Adhfe1","nonsense_mediated_decay","alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]"
"ENSMUST00000190654","Adhfe1","nonsense_mediated_decay","alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]"
"ENSMUST00000088666","Vxn","protein_coding","vexin [Source:MGI Symbol;Acc:MGI:1924232]"
"ENSMUST00000194727","Cep170","protein_coding","centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348]"
"ENSMUST00000195433","Cep170","nonsense_mediated_decay","centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348]"
"ENSMUST00000193098","Cep170","retained_intron","centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348]"
"ENSMUST00000192961","Cep170","protein_coding","centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348]"
"ENSMUST00000195121","Gm38104","TEC","predicted gene, 38104 [Source:MGI Symbol;Acc:MGI:5611332]"
"ENSMUST00000088658","Mybl1","protein_coding","myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]"
"ENSMUST00000115468","Mybl1","protein_coding","myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]"
"ENSMUST00000188212","Mybl1","protein_coding","myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]"
"ENSMUST00000057438","Vcpip1","protein_coding","valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]"
"ENSMUST00000188313","Tpp2","protein_coding","tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]"
"ENSMUST00000186441","Tpp2","protein_coding","tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]"
"ENSMUST00000190207","Tpp2","protein_coding","tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]"
"ENSMUST00000187115","Tpp2","retained_intron","tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]"
"ENSMUST00000133305","Sdccag8","retained_intron","serologically defined colon cancer antigen 8 [Source:MGI Symbol;Acc:MGI:1924066]"
"ENSMUST00000139589","Sdccag8","protein_coding_CDS_not_defined","serologically defined colon cancer antigen 8 [Source:MGI Symbol;Acc:MGI:1924066]"
"ENSMUST00000191687","Gm37519","TEC","predicted gene, 37519 [Source:MGI Symbol;Acc:MGI:5610747]"
"ENSMUST00000148810","Niban1","protein_coding","niban apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:2137237]"
"ENSMUST00000086267","Niban1","protein_coding_CDS_not_defined","niban apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:2137237]"
"ENSMUST00000193479","Gm38265","TEC","predicted gene, 38265 [Source:MGI Symbol;Acc:MGI:5611493]"
"ENSMUST00000019843","Akt3","protein_coding","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]"
"ENSMUST00000111159","Akt3","protein_coding","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]"
"ENSMUST00000111160","Akt3","protein_coding","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]"
"ENSMUST00000193760","Gm37106","TEC","predicted gene, 37106 [Source:MGI Symbol;Acc:MGI:5610334]"
"ENSMUST00000194121","Gm38146","TEC","predicted gene, 38146 [Source:MGI Symbol;Acc:MGI:5611374]"
"ENSMUST00000195379","Gm37706","TEC","predicted gene, 37706 [Source:MGI Symbol;Acc:MGI:5610934]"
"ENSMUST00000180591","Gm26801","lncRNA","predicted gene, 26801 [Source:MGI Symbol;Acc:MGI:5477295]"
"ENSMUST00000195549","Zbtb18","protein_coding","zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609]"
"ENSMUST00000193480","Zbtb18","protein_coding","zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609]"
"ENSMUST00000195388","Zbtb18","protein_coding","zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609]"
"ENSMUST00000195612","Zbtb18","protein_coding","zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609]"
"ENSMUST00000059498","Edem3","protein_coding","ER degradation enhancer, mannosidase alpha-like 3 [Source:MGI Symbol;Acc:MGI:1914217]"
"ENSMUST00000187951","Edem3","protein_coding","ER degradation enhancer, mannosidase alpha-like 3 [Source:MGI Symbol;Acc:MGI:1914217]"
"ENSMUST00000044581","1700025G04Rik","protein_coding","RIKEN cDNA 1700025G04 gene [Source:MGI Symbol;Acc:MGI:1916649]"
"ENSMUST00000128433","1700025G04Rik","retained_intron","RIKEN cDNA 1700025G04 gene [Source:MGI Symbol;Acc:MGI:1916649]"
"ENSMUST00000016105","Adss","protein_coding","adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]"
"ENSMUST00000159184","Adss","retained_intron","adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]"
"ENSMUST00000161442","Gm16585","processed_pseudogene","predicted gene 16585 [Source:MGI Symbol;Acc:MGI:4415005]"
"ENSMUST00000015124","Tsen15","protein_coding","tRNA splicing endonuclease subunit 15 [Source:MGI Symbol;Acc:MGI:1913887]"
"ENSMUST00000188952","Epha4","nonsense_mediated_decay","Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]"
"ENSMUST00000188797","Epha4","protein_coding","Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]"
"ENSMUST00000187346","Epha4","protein_coding","Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]"
"ENSMUST00000189934","Epha4","retained_intron","Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]"
"ENSMUST00000044311","Colgalt2","protein_coding","collagen beta(1-O)galactosyltransferase 2 [Source:MGI Symbol;Acc:MGI:2138232]"
"ENSMUST00000065767","Poglut2","protein_coding","protein O-glucosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919300]"
"ENSMUST00000141125","Poglut2","retained_intron","protein O-glucosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919300]"
"ENSMUST00000027213","Poglut2","protein_coding","protein O-glucosyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919300]"
"ENSMUST00000004994","Pax3","protein_coding","paired box 3 [Source:MGI Symbol;Acc:MGI:97487]"
"ENSMUST00000087086","Pax3","protein_coding","paired box 3 [Source:MGI Symbol;Acc:MGI:97487]"
"ENSMUST00000172555","Pax3","protein_coding_CDS_not_defined","paired box 3 [Source:MGI Symbol;Acc:MGI:97487]"
"ENSMUST00000035991","Bivm","protein_coding","basic, immunoglobulin-like variable motif containing [Source:MGI Symbol;Acc:MGI:2179809]"
"ENSMUST00000114709","Bivm","protein_coding","basic, immunoglobulin-like variable motif containing [Source:MGI Symbol;Acc:MGI:2179809]"
"ENSMUST00000036172","Sgpp2","protein_coding","sphingosine-1-phosphate phosphatase 2 [Source:MGI Symbol;Acc:MGI:3589109]"
"ENSMUST00000161075","Desi2","protein_coding","desumoylating isopeptidase 2 [Source:MGI Symbol;Acc:MGI:1926075]"
"ENSMUST00000027783","Desi2","protein_coding","desumoylating isopeptidase 2 [Source:MGI Symbol;Acc:MGI:1926075]"
"ENSMUST00000069568","Desi2","protein_coding","desumoylating isopeptidase 2 [Source:MGI Symbol;Acc:MGI:1926075]"
"ENSMUST00000027781","Cox20","protein_coding","cytochrome c oxidase assembly protein 20 [Source:MGI Symbol;Acc:MGI:1913609]"
"ENSMUST00000154437","Cox20","retained_intron","cytochrome c oxidase assembly protein 20 [Source:MGI Symbol;Acc:MGI:1913609]"
"ENSMUST00000188376","Ercc5","retained_intron","excision repair cross-complementing rodent repair deficiency, complementation group 5 [Source:MGI Symbol;Acc:MGI:103582]"
"ENSMUST00000027214","Ercc5","protein_coding","excision repair cross-complementing rodent repair deficiency, complementation group 5 [Source:MGI Symbol;Acc:MGI:103582]"
"ENSMUST00000170217","Farsb","protein_coding","phenylalanyl-tRNA synthetase, beta subunit [Source:MGI Symbol;Acc:MGI:1346035]"
"ENSMUST00000068333","Farsb","protein_coding","phenylalanyl-tRNA synthetase, beta subunit [Source:MGI Symbol;Acc:MGI:1346035]"
"ENSMUST00000189529","Farsb","nonsense_mediated_decay","phenylalanyl-tRNA synthetase, beta subunit [Source:MGI Symbol;Acc:MGI:1346035]"
"ENSMUST00000190853","BC035947","protein_coding_CDS_not_defined","cDNA sequence BC035947 [Source:MGI Symbol;Acc:MGI:2652858]"
"ENSMUST00000111859","Rgl1","protein_coding","ral guanine nucleotide dissociation stimulator,-like 1 [Source:MGI Symbol;Acc:MGI:107484]"
"ENSMUST00000188395","Rgl1","retained_intron","ral guanine nucleotide dissociation stimulator,-like 1 [Source:MGI Symbol;Acc:MGI:107484]"
"ENSMUST00000119836","Gm7278","processed_pseudogene","predicted gene 7278 [Source:MGI Symbol;Acc:MGI:3645261]"
"ENSMUST00000077755","Arpc5","protein_coding","actin related protein 2/3 complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1915021]"
"ENSMUST00000097536","Arpc5","protein_coding","actin related protein 2/3 complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1915021]"
"ENSMUST00000159555","Gulp1","nonsense_mediated_decay","GULP, engulfment adaptor PTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1920407]"
"ENSMUST00000161793","Gulp1","protein_coding_CDS_not_defined","GULP, engulfment adaptor PTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1920407]"
"ENSMUST00000162600","Gulp1","protein_coding","GULP, engulfment adaptor PTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1920407]"
"ENSMUST00000194594","Gm38110","TEC","predicted gene, 38110 [Source:MGI Symbol;Acc:MGI:5611338]"
"ENSMUST00000159117","Hnrnpu","protein_coding_CDS_not_defined","heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]"
"ENSMUST00000161769","Hnrnpu","nonsense_mediated_decay","heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]"
"ENSMUST00000037748","Hnrnpu","protein_coding","heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]"
"ENSMUST00000146362","Hnrnpu","protein_coding_CDS_not_defined","heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]"
"ENSMUST00000194245","Gm38300","TEC","predicted gene, 38300 [Source:MGI Symbol;Acc:MGI:5611528]"
"ENSMUST00000027775","Efcab2","protein_coding","EF-hand calcium binding domain 2 [Source:MGI Symbol;Acc:MGI:1915476]"
"ENSMUST00000035779","Acsl3","protein_coding","acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]"
"ENSMUST00000134566","Acsl3","protein_coding","acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]"
"ENSMUST00000142704","Acsl3","protein_coding","acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]"
"ENSMUST00000135642","Acsl3","protein_coding","acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]"
"ENSMUST00000187641","Ncf2","retained_intron","neutrophil cytosolic factor 2 [Source:MGI Symbol;Acc:MGI:97284]"
"ENSMUST00000027754","Ncf2","protein_coding","neutrophil cytosolic factor 2 [Source:MGI Symbol;Acc:MGI:97284]"
"ENSMUST00000161017","Kif26b","protein_coding","kinesin family member 26B [Source:MGI Symbol;Acc:MGI:2447076]"
"ENSMUST00000171265","Sgk3","protein_coding","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]"
"ENSMUST00000097826","Sgk3","protein_coding","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]"
"ENSMUST00000191338","Sgk3","retained_intron","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]"
"ENSMUST00000053760","Utp14b","protein_coding","UTP14B small subunit processome component [Source:MGI Symbol;Acc:MGI:2445092]"
"ENSMUST00000151622","Utp14b","protein_coding","UTP14B small subunit processome component [Source:MGI Symbol;Acc:MGI:2445092]"
"ENSMUST00000187432","Kcne4","protein_coding","potassium voltage-gated channel, Isk-related subfamily, gene 4 [Source:MGI Symbol;Acc:MGI:1891125]"
"ENSMUST00000185234","Scg2","protein_coding","secretogranin II [Source:MGI Symbol;Acc:MGI:103033]"
"ENSMUST00000128302","Smyd3","protein_coding","SET and MYND domain containing 3 [Source:MGI Symbol;Acc:MGI:1916976]"
"ENSMUST00000068437","Smyd3","protein_coding_CDS_not_defined","SET and MYND domain containing 3 [Source:MGI Symbol;Acc:MGI:1916976]"
"ENSMUST00000131684","Smyd3","protein_coding_CDS_not_defined","SET and MYND domain containing 3 [Source:MGI Symbol;Acc:MGI:1916976]"
"ENSMUST00000129393","Smyd3","protein_coding_CDS_not_defined","SET and MYND domain containing 3 [Source:MGI Symbol;Acc:MGI:1916976]"
"ENSMUST00000162342","Ap1s3","protein_coding","adaptor-related protein complex AP-1, sigma 3 [Source:MGI Symbol;Acc:MGI:1891304]"
"ENSMUST00000027769","Tfb2m","protein_coding","transcription factor B2, mitochondrial [Source:MGI Symbol;Acc:MGI:107937]"
"ENSMUST00000040706","Cnst","protein_coding","consortin, connexin sorting protein [Source:MGI Symbol;Acc:MGI:2445141]"
"ENSMUST00000087883","Col3a1","protein_coding","collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]"
"ENSMUST00000134287","Sccpdh","nonsense_mediated_decay","saccharopine dehydrogenase (putative) [Source:MGI Symbol;Acc:MGI:1924486]"
"ENSMUST00000144480","Sccpdh","protein_coding","saccharopine dehydrogenase (putative) [Source:MGI Symbol;Acc:MGI:1924486]"
"ENSMUST00000073441","Smg7","protein_coding","SMG7 nonsense mediated mRNA decay factor [Source:MGI Symbol;Acc:MGI:2682334]"
"ENSMUST00000043560","Smg7","protein_coding","SMG7 nonsense mediated mRNA decay factor [Source:MGI Symbol;Acc:MGI:2682334]"
"ENSMUST00000185888","Gm28791","lncRNA","predicted gene 28791 [Source:MGI Symbol;Acc:MGI:5579497]"
"ENSMUST00000086430","Col5a2","protein_coding","collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]"
"ENSMUST00000150143","Col5a2","retained_intron","collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]"
"ENSMUST00000134681","Col5a2","retained_intron","collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]"
"ENSMUST00000192814","Gm38211","TEC","predicted gene, 38211 [Source:MGI Symbol;Acc:MGI:5611439]"
"ENSMUST00000113512","Wdfy1","protein_coding","WD repeat and FYVE domain containing 1 [Source:MGI Symbol;Acc:MGI:1916618]"
"ENSMUST00000187005","Wdfy1","nonsense_mediated_decay","WD repeat and FYVE domain containing 1 [Source:MGI Symbol;Acc:MGI:1916618]"
"ENSMUST00000113510","Wdfy1","protein_coding","WD repeat and FYVE domain containing 1 [Source:MGI Symbol;Acc:MGI:1916618]"
"ENSMUST00000048820","Wdfy1","protein_coding","WD repeat and FYVE domain containing 1 [Source:MGI Symbol;Acc:MGI:1916618]"
"ENSMUST00000147000","Ppp1r42","protein_coding","protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]"
"ENSMUST00000027464","Mrpl44","protein_coding","mitochondrial ribosomal protein L44 [Source:MGI Symbol;Acc:MGI:1916413]"
"ENSMUST00000027467","Serpine2","protein_coding","serine (or cysteine) peptidase inhibitor, clade E, member 2 [Source:MGI Symbol;Acc:MGI:101780]"
"ENSMUST00000043313","Nmnat2","protein_coding","nicotinamide nucleotide adenylyltransferase 2 [Source:MGI Symbol;Acc:MGI:2444155]"
"ENSMUST00000195479","Gm38339","TEC","predicted gene, 38339 [Source:MGI Symbol;Acc:MGI:5611567]"
"ENSMUST00000185548","9830004L10Rik","lncRNA","RIKEN cDNA 9830004L10 gene [Source:MGI Symbol;Acc:MGI:3642808]"
"ENSMUST00000027768","Ahctf1","protein_coding","AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]"
"ENSMUST00000140489","Ahctf1","protein_coding","AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]"
"ENSMUST00000151734","Ahctf1","retained_intron","AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]"
"ENSMUST00000125816","Ahctf1","nonsense_mediated_decay","AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]"
"ENSMUST00000194536","Ahctf1","retained_intron","AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]"
"ENSMUST00000027050","Cops5","protein_coding","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]"
"ENSMUST00000190155","Cops5","nonsense_mediated_decay","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]"
"ENSMUST00000139578","Cops5","retained_intron","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]"
"ENSMUST00000191296","Cops5","retained_intron","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]"
"ENSMUST00000185356","Lamc2","protein_coding","laminin, gamma 2 [Source:MGI Symbol;Acc:MGI:99913]"
"ENSMUST00000163119","Cul3","protein_coding","cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]"
"ENSMUST00000164108","Cul3","protein_coding","cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]"
"ENSMUST00000168372","Cul3","protein_coding","cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]"
"ENSMUST00000027752","Lamc1","protein_coding","laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]"
"ENSMUST00000159251","Lamc1","retained_intron","laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]"
"ENSMUST00000163011","Lamc1","nonsense_mediated_decay","laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]"
"ENSMUST00000161744","Lamc1","protein_coding","laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]"
"ENSMUST00000238212","Dnah7b","protein_coding","dynein, axonemal, heavy chain 7B [Source:MGI Symbol;Acc:MGI:2684953]"
"ENSMUST00000187548","Dnah7b","retained_intron","dynein, axonemal, heavy chain 7B [Source:MGI Symbol;Acc:MGI:2684953]"
"ENSMUST00000185879","Dnah7b","nonsense_mediated_decay","dynein, axonemal, heavy chain 7B [Source:MGI Symbol;Acc:MGI:2684953]"
"ENSMUST00000069293","Dnah7b","protein_coding","dynein, axonemal, heavy chain 7B [Source:MGI Symbol;Acc:MGI:2684953]"
"ENSMUST00000186380","Dhx9","protein_coding","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000190544","Dhx9","nonsense_mediated_decay","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000188345","Dhx9","protein_coding","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000189509","Dhx9","retained_intron","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000190383","Dhx9","retained_intron","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000189425","Dhx9","retained_intron","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000042141","Dhx9","protein_coding","DEAH (Asp-Glu-Ala-His) box polypeptide 9 [Source:MGI Symbol;Acc:MGI:108177]"
"ENSMUST00000041874","Npl","protein_coding","N-acetylneuraminate pyruvate lyase [Source:MGI Symbol;Acc:MGI:1921341]"
"ENSMUST00000189749","Dnah7c","protein_coding","dynein, axonemal, heavy chain 7C [Source:MGI Symbol;Acc:MGI:3639762]"
"ENSMUST00000027131","Slc39a10","protein_coding","solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]"
"ENSMUST00000141226","Slc39a10","retained_intron","solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]"
"ENSMUST00000189404","Gm28151","lncRNA","predicted gene 28151 [Source:MGI Symbol;Acc:MGI:5578857]"
"ENSMUST00000190006","Gm28826","lncRNA","predicted gene 28826 [Source:MGI Symbol;Acc:MGI:5579532]"
"ENSMUST00000190610","Cspp1","retained_intron","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000071087","Cspp1","protein_coding","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000143606","Cspp1","retained_intron","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000122156","Cspp1","protein_coding","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000190063","Cspp1","retained_intron","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000186294","Cspp1","protein_coding","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000149214","Cspp1","protein_coding","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000190318","Cspp1","retained_intron","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000188449","Cspp1","nonsense_mediated_decay","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000190625","Cspp1","retained_intron","centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]"
"ENSMUST00000186016","4933411E06Rik","lncRNA","RIKEN cDNA 4933411E06 gene [Source:MGI Symbol;Acc:MGI:1918431]"
"ENSMUST00000041776","Rgs8","protein_coding","regulator of G-protein signaling 8 [Source:MGI Symbol;Acc:MGI:108408]"
"ENSMUST00000111810","Rgs8","protein_coding","regulator of G-protein signaling 8 [Source:MGI Symbol;Acc:MGI:108408]"
"ENSMUST00000193511","5530400K19Rik","TEC","RIKEN cDNA 5530400K19 gene [Source:MGI Symbol;Acc:MGI:1921757]"
"ENSMUST00000081851","Tmeff2","protein_coding","transmembrane protein with EGF-like and two follistatin-like domains 2 [Source:MGI Symbol;Acc:MGI:1861735]"
"ENSMUST00000027748","Rgs16","protein_coding","regulator of G-protein signaling 16 [Source:MGI Symbol;Acc:MGI:108407]"
"ENSMUST00000185627","Gm28322","lncRNA","predicted gene 28322 [Source:MGI Symbol;Acc:MGI:5579028]"
"ENSMUST00000051572","Cavin2","protein_coding","caveolae associated 2 [Source:MGI Symbol;Acc:MGI:99513]"
"ENSMUST00000182538","Rnasel","protein_coding","ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) [Source:MGI Symbol;Acc:MGI:1098272]"
"ENSMUST00000182016","Rnasel","protein_coding_CDS_not_defined","ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) [Source:MGI Symbol;Acc:MGI:1098272]"
"ENSMUST00000187415","Gm28512","lncRNA","predicted gene 28512 [Source:MGI Symbol;Acc:MGI:5579218]"
"ENSMUST00000088615","Arfgef1","protein_coding","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]"
"ENSMUST00000156563","Arfgef1","retained_intron","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]"
"ENSMUST00000128834","Arfgef1","retained_intron","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]"
"ENSMUST00000131556","Arfgef1","protein_coding","ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]"
